C.D.S.  -  SIMBAD4 rel 1.7  -  2021.02.27CET22:50:48

NGC  5139
---------

Number of objects : 7684

 #  |dist(asec)|prob. |     link ref      |     link      |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
    |          |member|                   |    comment    |                                   |   |                                       |      |      |      |      |      |               |    |    
51  |    703.30|   100|2011ApJ...731...64M|B              |2MASS J13272837-4738131            |RG*|13 27 28.3874440296 -47 38 13.093304561|     ~|13.64 |12.40 |     ~|11.006|~              |  20|   0
52  |    623.60|   100|2000A&A...360..472V|B              |2MASS J13271663-4719383            |RG*|13 27 16.6458350997 -47 19 38.387617850|14.32 |13.62 |12.44 |     ~|     ~|~              |  15|   0
53  |    623.60|   100|2007MNRAS.382.1353V|S              |2MASS J13271663-4719383            |RG*|13 27 16.6458350997 -47 19 38.387617850|14.32 |13.62 |12.44 |     ~|     ~|~              |  15|   0
54  |    623.60|   100|2010ApJ...722.1373J|B              |2MASS J13271663-4719383            |RG*|13 27 16.6458350997 -47 19 38.387617850|14.32 |13.62 |12.44 |     ~|     ~|~              |  15|   0
55  |    689.33|   100|2007MNRAS.382.1353V|S              |2MASS J13274752-4734065            |RG*|13 27 47.5298164658 -47 34 06.612483331|14.39 |13.91 |12.77 |     ~|     ~|~              |  13|   0
56  |    689.33|   100|2010ApJ...722.1373J|B              |2MASS J13274752-4734065            |RG*|13 27 47.5298164658 -47 34 06.612483331|14.39 |13.91 |12.77 |     ~|     ~|~              |  13|   0
57  |    851.79|   100|2000A&A...360..472V|B              |NGC 5139 446                       |Pe*|13 27 57.3083685674 -47 36 38.123045368|     ~|13.9  |12.79 |     ~|     ~|CEMP           |  17|   0
58  |    851.79|   100|2007MNRAS.382.1353V|S              |NGC 5139 446                       |Pe*|13 27 57.3083685674 -47 36 38.123045368|     ~|13.9  |12.79 |     ~|     ~|CEMP           |  17|   0
59  |    851.79|   100|2010ApJ...722.1373J|B              |NGC 5139 446                       |Pe*|13 27 57.3083685674 -47 36 38.123045368|     ~|13.9  |12.79 |     ~|     ~|CEMP           |  17|   0
60  |    946.72|   100|2000A&A...360..472V|B              |2MASS J13251799-4733257            |RG*|13 25 17.9940248136 -47 33 25.677530564|14.34 |13.92 |12.81 |     ~|     ~|~              |  16|   0
61  |    946.72|   100|2007MNRAS.382.1353V|S              |2MASS J13251799-4733257            |RG*|13 25 17.9940248136 -47 33 25.677530564|14.34 |13.92 |12.81 |     ~|     ~|~              |  16|   0
62  |    946.72|   100|2010ApJ...722.1373J|B              |2MASS J13251799-4733257            |RG*|13 25 17.9940248136 -47 33 25.677530564|14.34 |13.92 |12.81 |     ~|     ~|~              |  16|   0
63  |   1054.69|   100|2007MNRAS.382.1353V|S              |2MASS J13252403-4739206            |RG*|13 25 24.0414686178 -47 39 20.655422000|     ~|14.390|13.413|     ~|     ~|~              |  10|   0
64  |   1054.69|   100|2010ApJ...722.1373J|B              |2MASS J13252403-4739206            |RG*|13 25 24.0414686178 -47 39 20.655422000|     ~|14.390|13.413|     ~|     ~|~              |  10|   0
65  |    686.56|   100|2017AJ....154..150A|B              |2MASS J13272884-4737487            |RG*|13 27 28.8511578208 -47 37 48.565438481|     ~|15.869|14.797|     ~|     ~|~              |   4|   0
66  |    388.18|    90|2007ApJ...661L.155P|S              |NGC 5139 235                       |RB?|13 26 09.3786622351 -47 27 51.274220475|     ~|13.539|12.159|     ~|10.869|~              |   9|   0
67  |    388.18|   100|2010ApJ...722.1373J|B              |NGC 5139 235                       |RB?|13 26 09.3786622351 -47 27 51.274220475|     ~|13.539|12.159|     ~|10.869|~              |   9|   0
68  |    728.49|     0|2017AJ....154..150A|B              |2MASS J13274100-4736506            |RG*|13 27 41.0140110454 -47 36 50.563268275|     ~|15.771|14.653|     ~|     ~|~              |   3|   0
69  |    879.80|   100|2007MNRAS.382.1353V|S              |NGC 5139 2194                      |*  |13 28 01.7760987120 -47 36 18.918658988|     ~|14.780|13.862|     ~|     ~|~              |   7|   0
70  |    885.64|   100|2007MNRAS.382.1353V|S              |NGC 5139 2231                      |*  |13 25 30.2548026250 -47 35 45.584520646|     ~|15.500|15.421|     ~|     ~|~              |   3|   0
71  |    726.32|   100|2017AJ....154..150A|B              |2MASS J13274563-4735482            |RG*|13 27 45.6540031302 -47 35 48.139287232|     ~|15.386|14.509|     ~|     ~|~              |   4|   0
72  |    868.23|   100|2000A&A...360..472V|B              |2MASS J13252766-4734077            |RG*|13 25 27.6589359103 -47 34 07.644024402|15.21 |14.64 |13.49 |     ~|     ~|~              |  14|   0
73  |    868.23|   100|2007MNRAS.382.1353V|S              |2MASS J13252766-4734077            |RG*|13 25 27.6589359103 -47 34 07.644024402|15.21 |14.64 |13.49 |     ~|     ~|~              |  14|   0
74  |    868.23|   100|2010ApJ...722.1373J|B              |2MASS J13252766-4734077            |RG*|13 25 27.6589359103 -47 34 07.644024402|15.21 |14.64 |13.49 |     ~|     ~|~              |  14|   0
75  |    598.37|    90|2007ApJ...661L.155P|S              |2MASS J13273706-4734081            |RG*|13 27 37.0741152306 -47 34 08.051162438|     ~|15.102|14.228|     ~|13.178|~              |   6|   0
76  |    598.37|   100|2017AJ....154..150A|B              |2MASS J13273706-4734081            |RG*|13 27 37.0741152306 -47 34 08.051162438|     ~|15.102|14.228|     ~|13.178|~              |   6|   0
77  |    601.98|   100|2018A&A...618A.134M|B              |2MASS J13273795-4734004            |RG*|13 27 37.9665503063 -47 34 00.385520925|     ~|15.829|14.901|     ~|13.799|~              |   5|   0
78  |    925.93|   100|2007MNRAS.382.1353V|S              |NGC 5139 3386                      |*  |13 25 17.1746469276 -47 31 19.729442543|     ~|15.90 |15.09 |     ~|     ~|~              |   6|   0
79  |    869.67|   100|2007MNRAS.382.1353V|S              |NGC 5139 3388                      |*  |13 25 22.3750400044 -47 30 52.320239605|     ~|15.77 |14.85 |     ~|     ~|~              |   4|   0
80  |    999.58|   100|2007MNRAS.382.1353V|S              |NGC 5139 3641                      |*  |13 25 08.7346368233 -47 29 21.841312284|     ~|15.15 |14.27 |     ~|     ~|~              |   6|   0
81  |    998.49|   100|2007MNRAS.382.1353V|S              |NGC 5139 3642                      |*  |13 25 08.9673941459 -47 29 49.022310075|     ~|14.74 |13.85 |     ~|     ~|~              |   7|   0
82  |    953.96|   100|2007MNRAS.382.1353V|S              |NGC 5139 4415                      |*  |13 25 14.0810655035 -47 26 36.763582988|     ~|15.17 |14.02 |     ~|     ~|~              |   6|   0
83  |    844.20|   100|2017AJ....154..150A|B              |2MASS J13252455-4727117            |RG*|13 25 24.5503501916 -47 27 11.677784678|     ~|15.550|14.561|     ~|     ~|~              |   5|   0
84  |    967.71|   100|2017AJ....154..150A|B              |2MASS J13251488-4724454            |RG*|13 25 14.8844331171 -47 24 45.367421373|     ~|15.374|14.451|     ~|     ~|~              |   7|   0
85  |   1013.63|   100|2007MNRAS.382.1353V|S              |NGC 5139 5760                      |*  |13 25 16.1781934157 -47 21 50.660041395|     ~|15.82 |15.02 |     ~|     ~|~              |   6|   0
86  |    924.04|   100|2007MNRAS.382.1353V|S              |NGC 5139 5761                      |*  |13 25 27.8989831968 -47 21 13.673884676|     ~|15.540|15.445|     ~|     ~|~              |   3|   0
87  |    984.30|   100|2007MNRAS.382.1353V|S              |NGC 5139 5952                      |*  |13 25 21.9147693093 -47 20 59.142221116|     ~|15.71 |14.79 |     ~|     ~|~              |   8|   0
88  |    788.37|   100|2000A&A...360..472V|B              |2MASS J13254619-4720392            |RG*|13 25 46.1932640015 -47 20 39.239430662|     ~|14.820|13.904|     ~|     ~|~              |   7|   0
89  |    788.37|   100|2007MNRAS.382.1353V|S              |2MASS J13254619-4720392            |RG*|13 25 46.1932640015 -47 20 39.239430662|     ~|14.820|13.904|     ~|     ~|~              |   7|   0
90  |    657.40|   100|2007MNRAS.382.1353V|S              |NGC 5139 6208                      |*  |13 27 18.3920974634 -47 19 09.563148002|     ~|14.790|14.619|     ~|     ~|~              |   3|   0
91  |    683.21|   100|2007MNRAS.382.1353V|S              |NGC 5139 6217                      |** |13 27 24.960864 -47 19 20.04708        |     ~|15.090|14.754|14.78 |     ~|~              |   4|   0
92  |    679.71|   100|2010ApJ...722.1373J|B              |2MASS J13271872-4718460            |RG*|13 27 18.7252859345 -47 18 46.056397644|     ~|14.286|13.263|     ~|     ~|~              |   7|   0
93  |    727.28|     0|2017AJ....154..150A|B              |2MASS J13270853-4717115            |RG*|13 27 08.5361958384 -47 17 11.602969346|     ~|15.528|14.719|     ~|     ~|~              |   3|   0
94  |    778.45|   100|2007MNRAS.382.1353V|S              |2MASS J13272929-4717548            |RG*|13 27 29.2957547043 -47 17 55.006642840|     ~|15.648|14.709|     ~|     ~|~              |   5|   0
95  |    778.45|   100|2017AJ....154..150A|B              |2MASS J13272929-4717548            |RG*|13 27 29.2957547043 -47 17 55.006642840|     ~|15.648|14.709|     ~|     ~|~              |   5|   0
96  |    610.85|   100|2007MNRAS.382.1353V|S              |NGC 5139 3596                      |*  |13 27 46.1239640437 -47 30 58.437683662|     ~|14.140|14.163|     ~|     ~|~              |   9|   0
97  |    804.38|     0|2009A&A...493..959B|B              |2MASS J13255214-4719085            |Y*?|13 25 52.1434069248 -47 19 08.491516205|16.877|16.295|14.764|     ~|12.296|~              |  11|   0
98  |    709.00|     0|2009A&A...493..959B|B              |NGC 5139 6221                      |Y*?|13 27 27.6571402144 -47 19 07.643192706|17.018|16.220|14.654|14.46 |11.968|~              |  12|   0
99  |    825.75|   100|2007MNRAS.382.1353V|S              |NGC 5139 2399                      |*  |13 25 35.2502628657 -47 35 13.053692806|     ~|15.630|14.737|     ~|     ~|~              |   8|   0
100 |    794.42|   100|2012A&A...547A.109M|B              |NGC 5139 2037                      |*  |13 25 44.09 -47 36 37.0                |15.302|15.016|14.871|     ~|     ~|~              |   3|   0
101 |    472.59|   100|2000A&A...360..472V|B              |2MASS J13260188-4726592            |RG*|13 26 01.8864210779 -47 26 59.118821823|14.32 |13.420|12.288|     ~|     ~|~              |  10|   0
102 |    472.59|   100|2007MNRAS.382.1353V|S              |2MASS J13260188-4726592            |RG*|13 26 01.8864210779 -47 26 59.118821823|14.32 |13.420|12.288|     ~|     ~|~              |  10|   0
103 |    472.59|   100|2010ApJ...722.1373J|B              |2MASS J13260188-4726592            |RG*|13 26 01.8864210779 -47 26 59.118821823|14.32 |13.420|12.288|     ~|     ~|~              |  10|   0
104 |    806.98|   100|2007MNRAS.382.1353V|S              |NGC 5139 2035                      |*  |13 25 42.1771727999 -47 36 31.595154054|15.274|15.270|15.112|     ~|     ~|~              |   6|   0
105 |    806.98|   100|2012A&A...547A.109M|B              |NGC 5139 2035                      |*  |13 25 42.1771727999 -47 36 31.595154054|15.274|15.270|15.112|     ~|     ~|~              |   6|   0
106 |    793.71|   100|2007MNRAS.382.1353V|S              |NGC 5139 2038                      |HB*|13 25 44.9516132708 -47 36 47.486984948|15.392|15.860|15.781|     ~|     ~|~              |   5|   0
107 |    793.71|   100|2011A&A...526A.136M|B              |NGC 5139 2038                      |HB*|13 25 44.9516132708 -47 36 47.486984948|15.392|15.860|15.781|     ~|     ~|~              |   5|   0
108 |    793.71|   100|2012A&A...547A.109M|B              |NGC 5139 2038                      |HB*|13 25 44.9516132708 -47 36 47.486984948|15.392|15.860|15.781|     ~|     ~|~              |   5|   0
109 |    744.95|   100|2007ApJ...663..296V|B              |Cl* NGC 5139 HHB 1083              |*  |13 25 47.9004895136 -47 36 05.888253806|     ~|18.24 |17.70 |17.31 |16.92 |~              |   3|   0
110 |    744.95|   100|2010A&A...519L...3M|B              |Cl* NGC 5139 HHB 1083              |*  |13 25 47.9004895136 -47 36 05.888253806|     ~|18.24 |17.70 |17.31 |16.92 |~              |   3|   0
111 |    946.83|   100|2000A&A...360..472V|B              |2MASS J13251752-4724266            |RG*|13 25 17.5227414595 -47 24 26.551906518|     ~|13.36 |11.98 |     ~|10.45 |~              |  34|   0
112 |    946.83|   100|2001A&A...373..159C|B              |2MASS J13251752-4724266            |RG*|13 25 17.5227414595 -47 24 26.551906518|     ~|13.36 |11.98 |     ~|10.45 |~              |  34|   0
113 |    946.83|   100|2007MNRAS.382.1353V|S              |2MASS J13251752-4724266            |RG*|13 25 17.5227414595 -47 24 26.551906518|     ~|13.36 |11.98 |     ~|10.45 |~              |  34|   0
114 |    946.83|   100|2010ApJ...722.1373J|B              |2MASS J13251752-4724266            |RG*|13 25 17.5227414595 -47 24 26.551906518|     ~|13.36 |11.98 |     ~|10.45 |~              |  34|   0
115 |    755.86|   100|2000A&A...360..472V|B              |2MASS J13253701-4733003            |RG*|13 25 37.0230931532 -47 33 00.477445846|     ~|14.2  |12.56 |     ~|     ~|~              |  15|   0
