C.D.S.  -  SIMBAD4 rel 1.7  -  2021.02.27CET23:06:09

M  45
-----

Number of objects : 9580

 #  |dist(asec)|prob. |     link ref      |     link      |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
    |          |member|                   |    comment    |                                   |   |                                       |      |      |      |      |      |               |    |    
48  |  19094.04|   100|2017A&A...601A..19G|B              |TYC 1805-890-1                     |PM*|03 28 11.0794218525 +27 18 26.030756278|     ~|11.58 |10.85 |     ~|     ~|G0             |   8|   0
49  |  19094.04|   100|2018A&A...616A..10G|B              |TYC 1805-890-1                     |PM*|03 28 11.0794218525 +27 18 26.030756278|     ~|11.58 |10.85 |     ~|     ~|G0             |   8|   0
50  |  19786.48|     0|2010MNRAS.408..475H|B              |BD+26 553                          |*  |03 26 18.1422397942 +27 01 13.730321790|     ~|10.72 |10.31 |     ~|     ~|A2             |   3|   0
51  |  18735.33|     0|2010MNRAS.408..475H|B              |V* CL Ari                          |bL*|03 29 06.6017216680 +27 24 49.010977995|     ~|10.48 | 9.92 |     ~|     ~|F2             |   8|   0
52  |  16683.43|    96|2019PASP..131d4101G|B              |HD 21510                           |PM*|03 28 56.7026255676 +26 18 31.073962502|     ~| 8.71 | 8.40 |     ~|     ~|F0             |  18|   0
53  |  16683.43|   100|2017A&A...601A..19G|B              |HD 21510                           |PM*|03 28 56.7026255676 +26 18 31.073962502|     ~| 8.71 | 8.40 |     ~|     ~|F0             |  18|   0
54  |  16683.43|   100|2018A&A...616A..10G|B              |HD 21510                           |PM*|03 28 56.7026255676 +26 18 31.073962502|     ~| 8.71 | 8.40 |     ~|     ~|F0             |  18|   0
55  |  14761.62|   100|2007ApJS..172..663S|B              |HIP 16431                          |*  |03 31 33.6269271432 +26 15 55.674615936|     ~|11.361|10.709|     ~| 9.957|~              |  18|   0
56  |  14761.62|   100|2009A&A...498..949M|B              |HIP 16431                          |*  |03 31 33.6269271432 +26 15 55.674615936|     ~|11.361|10.709|     ~| 9.957|~              |  18|   0
57  |  14761.62|   100|2017A&A...601A..19G|B              |HIP 16431                          |*  |03 31 33.6269271432 +26 15 55.674615936|     ~|11.361|10.709|     ~| 9.957|~              |  18|   0
58  |  14761.62|   100|2018A&A...616A..10G|B              |HIP 16431                          |*  |03 31 33.6269271432 +26 15 55.674615936|     ~|11.361|10.709|     ~| 9.957|~              |  18|   0
59  |  17118.71|   100|2009A&A...498..949M|B              |2MASS J03273245+2554003            |TT*|03 27 32.4682575837 +25 54 00.284952545|     ~| 9.94 | 9.25 | 9.15 |     ~|G0             |  13|   0
60  |  15377.05|   100|2007ApJS..172..663S|B              |BD+25 555                          |*  |03 29 25.4015116645 +25 39 08.148534649|     ~| 9.918| 9.432|     ~| 8.852|F5             |   6|   0
61  |  17070.32|     0|2010MNRAS.408..475H|B              |LP 356-106                         |Er*|03 28 49.5660576392 +26 29 12.336428021|     ~|15.0  |     ~|13.043|     ~|M4V            |  30|   0
62  |  15896.73|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 AK III-59           |*  |03 28 40.4746961210 +25 36 28.075136908|     ~|12.565|11.722|     ~|10.826|~              |   6|   0
63  |  15896.73|   100|2009A&A...498..949M|B              |Cl* Melotte 22 AK III-59           |*  |03 28 40.4746961210 +25 36 28.075136908|     ~|12.565|11.722|     ~|10.826|~              |   6|   0
64  |  15896.73|   100|2010MNRAS.408..475H|B              |Cl* Melotte 22 AK III-59           |*  |03 28 40.4746961210 +25 36 28.075136908|     ~|12.565|11.722|     ~|10.826|~              |   6|   0
65  |  16179.76|     0|2009A&A...498..949M|B              |Cl* Melotte 22 AK III-198          |PM*|03 32 00.1002391471 +27 04 40.778947035|     ~|12.38 |11.26 |     ~|     ~|~              |   3|   0
66  |  15740.06|     0|2010MNRAS.408..475H|B              |TYC 1801-1314-1                    |*  |03 28 35.2442317782 +25 23 59.486180738|     ~|11.01 |10.32 |     ~|     ~|~              |   2|   0
67  |  13820.05|     0|2010MNRAS.408..475H|B              |TYC 1802-525-1                     |*  |03 32 00.5268747979 +25 54 24.227653346|     ~|11.51 |11.15 |     ~|     ~|~              |   1|   0
68  |  14170.24|     0|2010MNRAS.408..475H|B              |TYC 1802-743-1                     |*  |03 31 52.0775873694 +26 03 18.315194606|     ~|11.37 |11.07 |     ~|     ~|~              |   1|   0
69  |  21282.86|     0|2010MNRAS.408..475H|B              |TYC 1805-231-1                     |*  |03 23 30.6994133409 +26 43 53.340996155|     ~|11.27 |10.70 |     ~|     ~|~              |   1|   0
70  |  18560.09|     0|2010MNRAS.408..475H|B              |TYC 1805-1191-1                    |*  |03 26 19.6999305169 +26 17 23.340047986|     ~|11.12 |10.50 |     ~|     ~|~              |   1|   0
